datename,box,social_experience,sex_target,playlist,interaction_index,led_intensity
localhost-20230829_172459,box03,False,female,silence,0.5098053797586025,0
localhost-20230829_172459,box01,False,female,silence,0.2854197746508437,0
localhost-20230829_172459,box04,False,female,silence,0.6469754804727218,0
localhost-20230829_172459,box02,False,female,silence,0.5516873262368862,0
localhost-20230829_172459,box06,False,female,silence,0.5114918300929127,0
localhost-20230829_172459,box05,False,female,silence,0.552976872078012,0
localhost-20230912_141253,box03,False,female,silence,0.5652825792157686,0
localhost-20230912_141253,box02,False,female,silence,0.5023702792764202,0
localhost-20230912_141253,box04,False,female,silence,0.6144067397306746,0
localhost-20230912_141253,box05,False,female,silence,0.48880625188764726,0
localhost-20230912_141253,box01,False,female,silence,0.6024472241572523,0
localhost-20230912_141253,box06,False,female,silence,0.5592135209483663,0
rpi6-20231121_140815,box01,False,female,silence,0.7069034676404277,0
rpi6-20231121_140815,box00,False,female,silence,0.45801473460958864,0
rpi6-20231121_140815,box03,False,female,silence,0.7659144119806602,0
rpi6-20231121_140815,box02,False,female,silence,0.7425260492745155,0
rpi6-20231121_140815,box05,False,female,silence,0.4535382564871506,0
rpi6-20231121_140815,box06,False,female,silence,0.5649514913963251,0
rpi6-20231121_140815,box04,False,female,silence,0.5826662604215717,0
localhost-20230823_155509,box09,False,female,IPI16,0.3320902321400372,0
localhost-20230823_155509,box08,False,female,IPI16,0.3520607037056286,0
localhost-20230823_155509,box03,False,female,IPI16,0.36183648015813874,0
localhost-20230823_155509,box02,False,female,IPI16,0.4947775006035246,0
localhost-20230823_155509,box04,False,female,IPI16,0.4462583236854987,0
localhost-20230823_155509,box05,False,female,IPI16,0.39570920494091555,0
localhost-20230823_155509,box07,False,female,IPI16,0.37618586640851887,0
localhost-20230823_155509,box06,False,female,IPI16,0.44620686954137784,0
localhost-20230919_140856,box06,False,female,IPI16,0.3994923107684016,0
localhost-20230919_140856,box03,False,female,IPI16,0.44783788859108525,0
localhost-20230919_140856,box05,False,female,IPI16,0.4774370502816571,0
localhost-20230919_140856,box01,False,female,IPI16,0.42429762552111655,0
localhost-20230919_140856,box04,False,female,IPI16,0.5340284736860292,0
localhost-20230919_140856,box02,False,female,IPI16,0.5875469772189487,0
rpi6-20231205_171045,box05,False,female,IPI16,0.7613154122372511,0
rpi6-20231205_171045,box00,False,female,IPI16,0.7527301092043682,0
rpi6-20231205_171045,box02,False,female,IPI16,0.7132009184209799,0
rpi6-20231205_171045,box03,False,female,IPI16,0.8115068415616024,0
rpi6-20231205_171045,box06,False,female,IPI16,0.7420374220374221,0
rpi6-20231205_171045,box04,False,female,IPI16,0.6078799249530957,0
rpi6-20231205_171045,box01,False,female,IPI16,0.6779331239402951,0
localhost-20230905_145457,box02,False,female,IPI36,0.5388110083671035,0
localhost-20230905_145457,box06,False,female,IPI36,0.5995885935546323,0
localhost-20230905_145457,box01,False,female,IPI36,0.6376508355068933,0
localhost-20230905_145457,box03,False,female,IPI36,0.5457788536573713,0
localhost-20230905_145457,box04,False,female,IPI36,0.48427677807001984,0
localhost-20230905_145457,box05,False,female,IPI36,0.5020751671662439,0
rpi8-20230926_153857,box05,False,female,IPI36,0.6860612146230801,0
rpi8-20230926_153857,box04,False,female,IPI36,0.6806610093791872,0
